u,v,key,source,target,length
340361600,360338199,0,340361600,360338199,341.1635445193081
340361600,5870600997,0,340361600,5870600997,237.18903729181278
340361702,12069562618,0,340361702,12069562618,328.1358074399921
340361702,340361725,0,340361702,340361725,559.9488612244086
340361702,12069562617,0,340361702,12069562617,331.41232279426066
340361725,340361702,0,340361725,340361702,559.9488612244086
340361725,3679114507,0,340361725,3679114507,1123.0566680530176
340361725,5870600743,0,340361725,5870600743,581.4502598704598
340361725,5870269485,0,340361725,5870269485,540.3835336621507
340362608,340362618,0,340362608,340362618,195.86064643414053
340362608,3146443362,0,340362608,3146443362,672.8329216766839
340362608,7574526592,0,340362608,7574526592,412.2520554382377
340362618,3146579391,0,340362618,3146579391,17.702599151144295
340362618,340362608,0,340362618,340362608,195.8606464341405
340362618,7574526592,0,340362618,7574526592,330.1600225675117
340369290,5870601152,0,340369290,5870601152,10.768961753941928
340369290,5232564064,0,340369290,5232564064,8.038951198623138
340369290,5870600036,0,340369290,5870600036,338.35612255415145
340369406,3692148041,0,340369406,3692148041,513.9108381041984
345558142,5877489184,0,345558142,5877489184,497.0557864901166
345558142,5864848683,0,345558142,5864848683,83.852155035398
345558142,5864848962,0,345558142,5864848962,410.4755308457978
345558238,5882978690,0,345558238,5882978690,112.49863645100478
345558238,11555393120,0,345558238,11555393120,289.53601812073106
345558238,6699754201,0,345558238,6699754201,218.57711670593926
345558242,5882978690,0,345558242,5882978690,30.08175771198882
345558242,5882977611,0,345558242,5882977611,157.67003999362157
345558242,5882978417,0,345558242,5882978417,52.94789094571671
345558274,7528092289,0,345558274,7528092289,168.05104232806343
345558274,3251533870,0,345558274,3251533870,306.8736277094846
345558274,4770519146,0,345558274,4770519146,101.16900314585553
345558289,5286934439,0,345558289,5286934439,16.062776433710983
345558289,5286934455,0,345558289,5286934455,36.96817371560403
345558289,5882978533,0,345558289,5882978533,199.11887774905784
360329373,360329374,0,360329373,360329374,17.880486350023563
360329373,5869964170,0,360329373,5869964170,471.0474930688883
360329373,340359008,0,360329373,340359008,322.7103032645668
360329374,360329373,0,360329374,360329373,17.880486350023563
360329374,8218722289,0,360329374,8218722289,357.19430387979264
360329374,5869964425,0,360329374,5869964425,131.92706349723807
360329409,5869962596,0,360329409,5869962596,241.37374324679914
360329409,5869963866,0,360329409,5869963866,249.2243829088202
360329409,5869964425,0,360329409,5869964425,245.73382170902758
360329553,360329603,0,360329553,360329603,80.78785771042004
360329553,5869963866,0,360329553,5869963866,80.092168559446
360329553,340359295,0,360329553,340359295,364.83800446160075
360329603,5869962396,0,360329603,5869962396,51.22883517501244
360329603,5831558757,0,360329603,5831558757,270.4734357083804
360329603,360329553,0,360329603,360329553,80.78785771042004
360329900,5831558756,0,360329900,5831558756,103.12191989215896
360329900,360329918,0,360329900,360329918,163.89402123114138
360329900,5831558762,0,360329900,5831558762,55.228397030909356
360329918,5831558772,0,360329918,5831558772,199.67022664013538
360329918,8218745703,0,360329918,8218745703,112.313875128599
360329918,393087813,0,360329918,393087813,517.7479468086475
360329918,360329900,0,360329918,360329900,163.89402123114138
360338144,5870600555,0,360338144,5870600555,83.65870125830521
360338144,5870599765,0,360338144,5870599765,115.97735115472322
360338144,5870600449,0,360338144,5870600449,119.66367597764099
360338199,340361600,0,360338199,340361600,341.1635445193082
360338199,360338262,0,360338199,360338262,73.34927960799655
360338199,5870601006,0,360338199,5870601006,101.5792239124916
360338262,360338199,0,360338262,360338199,73.34927960799655
360338262,360338431,0,360338262,360338431,297.1259225725808
360338262,5870599700,0,360338262,5870599700,356.5857499119415
360338431,360338262,0,360338431,360338262,297.12592257258086
360338431,360338455,0,360338431,360338455,112.69060429837232
360338431,360338455,1,360338431,360338455,767.302797757003
360338455,360338431,0,360338455,360338431,112.69060429837232
360338455,360338431,1,360338455,360338431,767.302797757003
360338455,13042860827,0,360338455,13042860827,110.94611680047915
360338676,5870599574,0,360338676,5870599574,6.557212460805325
360338676,360341071,0,360338676,360341071,280.44221894214036
360338676,5870600685,0,360338676,5870600685,188.49032649737728
360341071,360341109,0,360341071,360341109,560.4576216569866
360341071,360338676,0,360341071,360338676,280.44221894214036
360341071,5870599712,0,360341071,5870599712,581.0751129264227
360341109,5870600270,0,360341109,5870600270,23.840600972080797
360341109,360341071,0,360341109,360341071,560.4576216569866
360341109,5864902915,0,360341109,5864902915,370.9388832691377
360343019,398664875,0,360343019,398664875,443.0867946206363
360343019,5870599941,0,360343019,5870599941,647.5462451572607
360343019,5870600613,0,360343019,5870600613,31.29172037471136
393087813,393087814,0,393087813,393087814,48.32108840057634
393087813,12924985424,0,393087813,12924985424,81.39741030014747
393087813,360329918,0,393087813,360329918,517.7479468086475
393087814,393087813,0,393087814,393087813,48.32108840057634
393087814,5831545789,0,393087814,5831545789,394.48210974173236
393087814,393087816,0,393087814,393087816,160.57428777676782
393087816,12924982675,0,393087816,12924982675,550.0202830473995
393087816,4770546995,0,393087816,4770546995,246.59380204999127
393087816,393087814,0,393087816,393087814,160.57428777676782
393087822,5831545561,0,393087822,5831545561,128.64679891583188
393087822,393087826,0,393087822,393087826,231.0894015885421
393087822,4770546995,0,393087822,4770546995,59.48217147810101
393087826,393087827,0,393087826,393087827,43.63646650975253
393087826,393087822,0,393087826,393087822,231.0894015885421
393087826,5831545545,0,393087826,5831545545,308.2577259186156
393087827,393087826,0,393087827,393087826,43.63646650975253
393087827,393087829,0,393087827,393087829,124.75651134540874
393087827,5831542968,0,393087827,5831542968,296.2692805900386
393087829,393087838,0,393087829,393087838,124.09190268156874
393087829,393087827,0,393087829,393087827,124.75651134540874
393087829,5831542968,0,393087829,5831542968,166.24413440251698
393087838,5831542973,0,393087838,5831542973,272.7089056951895
393087838,393087829,0,393087838,393087829,124.09190268156874
393087838,7645633825,0,393087838,7645633825,360.4231147210014
